1541190121 0 0 0 0 23
1541190809 6 0 0 0 23
1541190820 6 0 0 0 23
1541190834 7 0 0 0 23
1541190840 7 0 0 0 23
1541191652 18 0 0 0 23
1541210455 8822 0 0 0 23
1541211493 8824 0 0 0 23
1541216717 8831 0 0 0 23
1541217635 8836 0 0 0 23
1541476361 8836 0 0 0 26
1542069423 8836 0 0 1 26
1542069460 8836 0 0 2 26
1542149018 8837 0 0 2 26
1543210439 8837 8 0 2 26
1543210842 8837 18 0 2 26
1543349587 8837 30 0 2 26
1543349852 8837 30 0 2 26
1543353180 8837 36 0 2 26
1543353345 8840 36 0 2 26
1543356610 15464 36 0 2 26
1543616597 29645 36 0 2 26
1543958422 42779 36 0 2 26
1543959477 42784 36 0 2 26
1544468949 42784 51 0 2 26
1547595254 42786 51 0 2 26
1547792776 42786 51 55 2 26
1547792902 42786 51 61 2 26
1547830582 42786 51 62 2 26
1547951981 42786 51 80 2 26
